CRN,Subject Code,Course Number,Course Code
14762,ACCT,210,ACCT210
14763,ACCT,210,ACCT210
14211,ACCT,210,ACCT210
14407,ACCT,210,ACCT210
14703,ACCT,210,ACCT210
14711,ACCT,210,ACCT210
14704,ACCT,210,ACCT210
14185,ACCT,210,ACCT210
14184,ACCT,210,ACCT210
11028,ACCT,210,ACCT210
11027,ACCT,210,ACCT210
11061,ACCT,210,ACCT210
20405,ACCT,210,ACCT210
20404,ACCT,210,ACCT210
30077,ACCT,210,ACCT210
11010,ACCT,210,ACCT210
11018,ACCT,210,ACCT210
11009,ACCT,210,ACCT210
14787,ACCT,211,ACCT211
14796,ACCT,211,ACCT211
14440,ACCT,211,ACCT211
14710,ACCT,211,ACCT211
14716,ACCT,211,ACCT211
14206,ACCT,211,ACCT211
14213,ACCT,211,ACCT211
11060,ACCT,211,ACCT211
11074,ACCT,211,ACCT211
20474,ACCT,211,ACCT211
20467,ACCT,211,ACCT211
30078,ACCT,211,ACCT211
11032,ACCT,211,ACCT211
11024,ACCT,211,ACCT211
14786,ACCT,302,ACCT302
14709,ACCT,302,ACCT302
14205,ACCT,302,ACCT302
11059,ACCT,302,ACCT302
20436,ACCT,302,ACCT302
30079,ACCT,302,ACCT302
11023,ACCT,302,ACCT302
14824,ACCT,304,ACCT304
14708,ACCT,304,ACCT304
14228,ACCT,304,ACCT304
11058,ACCT,304,ACCT304
20490,ACCT,304,ACCT304
11022,ACCT,304,ACCT304
14793,ACCT,310,ACCT310
14792,ACCT,310,ACCT310
14705,ACCT,310,ACCT310
14211,ACCT,310,ACCT310
14210,ACCT,310,ACCT310
11053,ACCT,310,ACCT310
20471,ACCT,310,ACCT310
20472,ACCT,310,ACCT310
11017,ACCT,310,ACCT310
14745,ACCT,311,ACCT311
14695,ACCT,311,ACCT311
14696,ACCT,311,ACCT311
14165,ACCT,311,ACCT311
10730,ACCT,311,ACCT311
20387,ACCT,311,ACCT311
10987,ACCT,311,ACCT311
14788,ACCT,324,ACCT324
14789,ACCT,324,ACCT324
14715,ACCT,324,ACCT324
15440,ACCT,324,ACCT324
14208,ACCT,324,ACCT324
14207,ACCT,324,ACCT324
11073,ACCT,324,ACCT324
20469,ACCT,324,ACCT324
20468,ACCT,324,ACCT324
11033,ACCT,324,ACCT324
14458,ACCT,340,ACCT340
14807,ACCT,405,ACCT405
14707,ACCT,405,ACCT405
14219,ACCT,405,ACCT405
11057,ACCT,405,ACCT405
20479,ACCT,405,ACCT405
11021,ACCT,405,ACCT405
14746,ACCT,410,ACCT410
14697,ACCT,410,ACCT410
14166,ACCT,410,ACCT410
10731,ACCT,410,ACCT410
20388,ACCT,410,ACCT410
10988,ACCT,410,ACCT410
14799,ACCT,499,ACCT499
14154,ACCT,499,ACCT499
