CRN,Course Code
14762,ACCT210
14763,ACCT210
14211,ACCT210
14407,ACCT210
14703,ACCT210
14711,ACCT210
14704,ACCT210
14185,ACCT210
14184,ACCT210
11028,ACCT210
11027,ACCT210
11061,ACCT210
20405,ACCT210
20404,ACCT210
30077,ACCT210
11010,ACCT210
11018,ACCT210
11009,ACCT210
14787,ACCT211
14796,ACCT211
14440,ACCT211
14710,ACCT211
14716,ACCT211
14206,ACCT211
14213,ACCT211
11060,ACCT211
11074,ACCT211
20474,ACCT211
20467,ACCT211
30078,ACCT211
11032,ACCT211
11024,ACCT211
14786,ACCT302
14709,ACCT302
14205,ACCT302
11059,ACCT302
20436,ACCT302
30079,ACCT302
11023,ACCT302
14824,ACCT304
14708,ACCT304
14228,ACCT304
11058,ACCT304
20490,ACCT304
11022,ACCT304
14793,ACCT310
14792,ACCT310
14705,ACCT310
14211,ACCT310
14210,ACCT310
11053,ACCT310
20471,ACCT310
20472,ACCT310
11017,ACCT310
14745,ACCT311
14695,ACCT311
14696,ACCT311
14165,ACCT311
10730,ACCT311
20387,ACCT311
10987,ACCT311
14788,ACCT324
14789,ACCT324
14715,ACCT324
15440,ACCT324
14208,ACCT324
14207,ACCT324
11073,ACCT324
20469,ACCT324
20468,ACCT324
11033,ACCT324
14458,ACCT340
14807,ACCT405
14707,ACCT405
14219,ACCT405
11057,ACCT405
20479,ACCT405
11021,ACCT405
14746,ACCT410
14697,ACCT410
14166,ACCT410
10731,ACCT410
20388,ACCT410
10988,ACCT410
14799,ACCT499
14154,ACCT499
14202,ACCT499
20432,ACCT499
30080,ACCT499
14017,AENV110
14016,AENV110
14068,AENV110
14067,AENV110
10992,AENV110
10993,AENV110
10994,AENV110
10189,AENV110
10191,AENV110
10190,AENV110
14067,AENV130
14079,AENV130
14068,AENV130
14069,AENV130
14072,AENV130
14071,AENV130
14070,AENV130
14073,AENV130
14679,AENV130
14674,AENV130
14676,AENV130
14677,AENV130
14675,AENV130
10998,AENV130
10997,AENV130
11000,AENV130
10999,AENV130
20785,AENV130
20787,AENV130
20786,AENV130
10194,AENV130
10195,AENV130
10196,AENV130
14275,AENV240
30297,AENV240
11001,AENV340
15318,AENV384
14431,AENV384
14075,AENV384
11002,AENV384
21413,AENV384
10198,AENV384
21548,AENV400
14276,AENV440
30298,AENV440
14076,AGRB261
11003,AGRB261
10199,AGRB261
14084,AGRB382
14680,AGRB382
20790,AGRB382
14085,AGRB430
14086,AGRB442
14079,ANSC111
14078,ANSC111
11004,ANSC111
11005,ANSC111
10200,ANSC111
10201,ANSC111
14080,ANSC235
11006,ANSC235
10202,ANSC235
14087,ANSC336
14681,ANSC336
20791,ANSC336
15432,ANSC337
20792,ANSC337
14086,ANSC343
10209,ANSC343
11343,ANSC345
10203,ANSC345
14064,ANSC360
14062,ANSC360
14063,ANSC360
14061,ANSC360
14065,ANSC360
14083,ANSC360
14082,ANSC360
14081,ANSC360
14085,ANSC360
14084,ANSC360
14683,ANSC360
14682,ANSC360
14686,ANSC360
14684,ANSC360
14685,ANSC360
11011,ANSC360
11007,ANSC360
11010,ANSC360
11008,ANSC360
11009,ANSC360
20796,ANSC360
20798,ANSC360
20794,ANSC360
20795,ANSC360
20797,ANSC360
10207,ANSC360
10206,ANSC360
10204,ANSC360
10208,ANSC360
10205,ANSC360
14687,ANSC363
14088,ANSC392
14688,ANSC392
20800,ANSC392
20799,ANSC483
11012,ANSC496
14089,ANSC497
14689,ANSC497
20801,ANSC497
10409,ANTH101
15262,ART101
14071,ART101
14415,ART101
14061,ART101
14069,ART101
14482,ART101
10471,ART101
30231,ART101
30233,ART101
30395,ART101
10254,ART101
14533,ART105
14532,ART105
14457,ART105
14452,ART105
14434,ART105
15274,ART105
15201,ART105
15200,ART105
10473,ART105
10474,ART105
10472,ART105
10475,ART105
20219,ART105
20222,ART105
10256,ART105
10257,ART105
10255,ART105
10258,ART105
14534,ART106
14535,ART106
14432,ART106
14524,ART106
15235,ART106
10476,ART106
20199,ART106
20198,ART106
10259,ART106
14536,ART111
14466,ART111
14463,ART111
14525,ART111
10478,ART111
10477,ART111
20220,ART111
10260,ART111
10261,ART111
14537,ART112
14470,ART112
15383,ART112
14526,ART112
10479,ART112
20232,ART112
10262,ART112
14538,ART213
14479,ART213
14527,ART213
10480,ART213
20214,ART213
10263,ART213
15254,ART221
14426,ART221
10481,ART221
10264,ART221
14539,ART222
14372,ART222
15221,ART222
14528,ART222
15414,ART222
20209,ART222
14441,ART240
14480,ART240
14478,ART240
15069,ART287
14063,ART291
14458,ART291
10482,ART291
30232,ART291
10265,ART291
14072,ART292
14529,ART292
20226,ART292
14540,ART314
14062,ART314
14530,ART314
20210,ART314
30230,ART314
14541,ART315
14453,ART315
14531,ART315
10483,ART315
20227,ART315
10266,ART315
15187,ART317
10484,ART317
10267,ART317
14532,ART318
20218,ART318
14542,ART324
14550,ART324
20223,ART324
14543,ART331
14418,ART331
14551,ART331
10485,ART331
20200,ART331
10268,ART331
14544,ART332
14419,ART332
14552,ART332
10486,ART332
20201,ART332
10269,ART332
14545,ART341
14064,ART341
14472,ART341
14553,ART341
10487,ART341
20217,ART341
10270,ART341
14546,ART342
14474,ART342
14554,ART342
10488,ART342
20211,ART342
10271,ART342
14547,ART351
14446,ART351
14555,ART351
10489,ART351
20205,ART351
30248,ART351
10272,ART351
14548,ART352
14445,ART352
14556,ART352
10490,ART352
20206,ART352
10273,ART352
14549,ART353
14245,ART353
14557,ART353
20207,ART353
14550,ART361
14073,ART361
14558,ART361
20194,ART361
30236,ART361
14551,ART362
14074,ART362
14559,ART362
20195,ART362
30237,ART362
14552,ART371
14560,ART371
20224,ART371
20225,ART372
30379,ART400
15199,ART423
11105,ART423
10274,ART423
14554,ART433
14422,ART433
10491,ART433
10275,ART433
14555,ART434
14563,ART434
10492,ART434
10276,ART434
15183,ART440
15350,ART440
15464,ART440
15068,ART440
15083,ART440
15422,ART440
11283,ART440
10277,ART440
14556,ART443
14476,ART443
14564,ART443
10494,ART443
10278,ART443
14557,ART444
14066,ART444
14565,ART444
10495,ART444
20213,ART444
14460,ART454
