Accounting,324
Agribusiness,382
Animal Science,360
Art,106
Art,361
Art,490
Hebrew (BHEB),472
Bible Text (BIBL),103
Bible Text (BIBL),211
Bible Text (BIBL),699
Christ. Ministry (BIBM),740
Missions (BMIS),458
Communication Disorders,235
Communication Disorders,353
Conflict Resolution,640
Communication,211
Communication,343
Communication,345
Communication,440
Communication,450
Communication,540
Conflict Resolution,610
Digital Entertainment Tech,440
Economics,260
Education,660
English,106
English,107
English,112
English,221
English,232
English,328
Kinesiology,420
Kinesiology,460
Kinesiology,475
Kinesiology,498
Kinesiology,600
English,640
Environmental Science,458
Family Studies,455
Finance,440
Foreign Language - Linguistics,230
Geography,235
Geology,111
International Studies,217
Information Systems,322
Information Systems,324
Information Technology,221
Journalism & Mass Comm.,321
Kinesiology,241
Kinesiology,330
Acct. & Fin.- Master of Acct.,609
Mathematics,124
Physical Education Activity,228
Physical Education Activity,240
Physical Education Activity,340
Priv Instr Instr N-maj,411
Mathematics,440
Management,330
Perf Ens Instr.,412
Perf Ens Instr.,414
Priv Instr Instr Maj,421
Priv Instr Instr N-maj,211
Priv Instr Voc Maj,431
Music Education,116
Theory,332
Nursing,310
Nursing,321
Nursing,470
Nursing,495
Physical Education Activity,100
Physical Education Activity,111
Physical Education Activity,140
Physical Education Activity,211
Physical Education Activity,216
Philosophy,486
Psychology,485
Psychology,682
Sociology,355
Social Work,652
Special Education,371
Theatre,137
Priv Instr Voc N-Maj,211
Information Technology,651
English,222
Accounting,310
Nursing,440
Theatre,224
Engineering,222
Communication,499
History,440
Communication,585
CCCU - Intercultural Studies,4C0
Journalism & Mass Comm.,201
Biology,400
Journalism & Mass Comm.,342
Journalism & Mass Comm.,348
Education,370
Art,324
Conflict Resolution,605
Nutrition,425
Psychology,643
Chemistry,134
Chemistry,203
Chemistry,323
Perf Ens Instr.,314
Perf Ens Instr.,402
Recital Seminar,311
Honors Class,415
Graduate School,695
Christ. Ministry (BIBM),614
Foreign Language - German,112
Perf Ens Vocal,201
Bible Text (BIBL),611
Foreign Language - Spanish,112
Agriculture & Environment,130
Special Education,485
Biology,493
Greek (BGRK),222
Greek (BGRK),332
Greek (BGRK),612
Priv Instr Voc Maj,421
Bible Text (BIBL),102
English,500
Christ. Ministry (BIBM),657
CCCU-Political Science,4C0
Christ. Ministry (BIBM),329
Higher Education,613
Mathematics,185
Missions (BMIS),652
Finance,416
Accounting,211
Animal Science,392
Animal Science,497
Art,105
Art,341
Art,362
Art,463
Greek (BGRK),625
Theology (BIBD),678
Bible Text (BIBL),458
Bible Text (BIBL),601
Bible Text (BIBL),662
Christ. Ministry (BIBM),721
Christ. Ministry (BIBM),799
Biology,113
Biology,115
Biology,294
Biology,475
Bus. Administration,120
Bus. Administration,419
Chemistry,393
Conflict Resolution,635
CCCU - Theatre,4F2
Design,102
Education,211
Education,682
English,6
Kinesiology,464
Social Work,799
English,699
Environmental Science,354
Environmental Science,400
Environmental Science,420
Finance,499
Foreign Language - ESL,33
Foreign Language - Linguistics,130
Foreign Language - Japanese,132
Foreign Language - Spanish,221
Geography,354
Graduate School,698
Higher Education,643
Honors Class,416
Journalism & Mass Comm.,102
Kinesiology,232
Mathematics,120
Physical Education Activity,341
Philosophy,379
Mathematics,238
Mathematics Workshop,120
Management,499
Priv Instr Voc Maj,221
Musicology,231
Musicology,439
Musicology,442
Theory,212
Nursing,335
Physics,113
Psychology,120
Psychology,624
Psychology,690
Sociology,477
Theatre,330
Social Work,415
Social Work,416
Psychology,368
Nursing,452
Economics,438
Theatre,138
Theatre,226
Environmental Science,341
Communication,485
Management,331
Management,337
Management,342
CCCU-History,3C0
CCCU - Music,4M0
CCCU - Music,4M1
Biology,403
Journalism & Mass Comm.,389
Management,439
Priv Instr Voc Maj,231
Art,315
Music Education,337
Early Childhood,451
Nutrition,224
Nutrition,426
Foreign Language - ESL,47
Bible Text (BIBL),367
Bible Text (BIBL),420
Bible Text (BIBL),451
Priv Instr Voc N-Maj,411
Chemistry,322
Perf Ens Instr.,316
Communication,376
Honors Class,408
Honors Class,412
Mathematics,397
Foreign Language - ESL,29
Priv Instr Instr Maj,221
Foreign Language - German,111
Foreign Language - German,222
Bible Text (BIBL),627
English,262
English,263
Design,232
Biology,353
Education,476
Marketing,320
Reading,460
Reading,464
Christ. Ministry (BIBM),409
English,411
English,412
Priv Instr Piano N-Maj,411
Art,351
Priv Instr Piano Maj,421
Computer Science,301
Computer Science,352
Core Curriculum,210
Computer Science,116
Political Science,227
Biology,221
Christ. Ministry (BIBM),341
Philosophy (BIBP),486
Biology,101
Finance,411
Art,213
Art,221
Theology (BIBD),647
Christ. Ministry (BIBM),480
Christ. Ministry (BIBM),629
Biology,312
Biology,357
Biology,495
Marriage & Family Therapy,604
CCCU-Business,4C0
Chemistry,112
Chemistry,356
Chemistry,464
Communication Disorders,601
Computer Science,120
Education,621
Education,651
Education,681
English,449
Kinesiology,421
Kinesiology,440
Social Work,782
English,633
Family Studies,356
Family Studies,453
Family Studies,454
Foreign Language - French,222
Foreign Language - French,352
Foreign Language - Latin,400
Foreign Language - Spanish,111
Foreign Language - Spanish,388
Gerontology,350
Graduate School,696
History,221
Honors Class,417
Information Systems,405
Information Technology,320
Journalism & Mass Comm.,495
Physical Education Activity,229
Physical Education Activity,234
Physical Education Activity,237
Management,375
Marketing,495
Music Education,333
Nursing,324
Physical Education Activity,206
Physical Education Activity,210
Political Science,400
Psychology,669
Psychology,676
Psychology,699
Reading,322
Sociology,400
Theatre,456
Theatre,469
Physics,335
Social Work,481
Communication Disorders,381
English,231
Foreign Language - Russian,232
Psychology,351
Perf Ens Instr.,302
Education,323
Gerontology,495
Music Education,339
Nutrition,423
Sociology,350
Psychology,645
Education,691
Chemistry,324
Honors Class,401
Honors Class,402
Honors Class,413
Mathematics,351
Business Law,400
Mathematics Workshop,130
Perf Ens Vocal,302
Design,251
Christ. Ministry (BIBM),413
English,377
English,520
Christ. Ministry (BIBM),679
Priv Instr Piano Maj,431
Computer Science,115
Communication,697
Christ. Ministry (BIBM),340
Theology (BIBT),491
Art,434
Bible Text (BIBL),452
Bible Text (BIBL),460
Biology,112
Biology,440
Chemistry,114
Chemistry,132
Communication Disorders,494
Communication,136
Communication,600
Conflict Resolution,612
Core Curriculum,110
Computer Science,130
Computer Science,365
Education,221
Education,431
Education,600
Education,680
English,325
English,326
English,470
English,600
Kinesiology,473
Family Studies,251
Family Studies,440
Foreign Language - ESL,37
Foreign Language - French,111
Gerontology,690
Health Education,112
History,117
History,484
International Studies,212
Information Technology,220
Mathematics,109
Mathematics,187
Mathematics,237
Mathematics,478
Mathematics,490
Management,345
Marketing,342
Marketing,440
Perf Ens Instr.,407
Piano Class,114
Piano Class,214
Music Education,110
Theory,232
Nursing,473
Physical Education Activity,212
Physical Education Activity,214
Physics,121
Physics,363
Physics,451
Political Science,221
Psychology,620
Sociology,499
Social Work,744
Theatre,240
Theatre,455
Theatre,470
University Courses,11
Psychology,233
Communication Disorders,670
Economics,261
Psychology,695
Non-credit course in Missions,440
Perf Ens Instr.,303
Perf Ens Instr.,304
Environmental Science,112
Communication,586
CCCU - Journalism & Mass Comm.,4F0
CCCU - Music,4M4
Journalism & Mass Comm.,364
Psychology,382
Musicology,131
Missions (BMIS),391
Nutrition,323
Nutrition,450
Bible Text (BIBL),400
English,111
Theory,112
Biology,114
Honors Class,405
Honors Class,414
History,118
Business Law,363
CCCU - Exercise Science,2C0
Management,305
Art,440
Art,444
Bible Text (BIBL),620
English,7
Design,222
Biology,355
Reading,363
Physics,491
Art,352
Political Science,226
Political Science,357
History (Church) (BIBH),380
History (Church) (BIBH),633
Hebrew (BHEB),672
Christ. Ministry (BIBM),391
Finance,311
Accounting,210
Accounting,405
Agribusiness,442
Christ. Ministry (BIBM),395
Christ. Ministry (BIBM),451
Marriage & Family Therapy,645
Marriage & Family Therapy,651
Missions (BMIS),420
Missions (BMIS),421
CCCU-Anthropology,4.00E+00
Chemistry,413
Chemistry,454
Communication Disorders,330
Communication Disorders,603
Communication Disorders,693
Communication,483
Conflict Resolution,630
CCCU - Theatre,4F0
CCCU - University Courses,4F0
Digital Entertainment Tech,350
Education,432
Education,683
Education,686
English,311
English,320
Social Work,752
Finance,310
Foreign Language - ESL,31
Honors Class,418
Honors Class,419
Information Technology,325
Information Technology,410
Kinesiology,100
Kinesiology,340
Communication,236
Mathematics Teaching,640
Mathematics Workshop,20
Mathematics Workshop,30
Priv Instr Piano N-Maj,211
Music Education,332
Nursing,471
Nursing,630
Physical Education Activity,217
Peace and Social Justice,499
Psychology,301
Psychology,451
Psychology,660
Sociology,410
Sociology,550
Social Work,230
Social Work,329
Social Work,642
Social Work,682
Physics,336
Psychology,232
Theatre,411
Accounting,304
International Studies,240
Perf Ens Instr.,305
Perf Ens Instr.,306
Management,335
History,222
History,479
History,481
CCCU - Music,4M2
CCCU - Music,4M3
Sociology,440
Journalism & Mass Comm.,360
Art,314
Perf Ens Instr.,315
Art,495
Honors Class,403
Honors Class,404
Business Law,440
Business Law,461
CCCU - Language Studies,1.00E+00
Psychology,600
Art,443
Education,661
Art,112
Computer Science,315
Computer Science,316
Foreign Language - Spanish,222
Political Science,361
Communication,683
Health Education,405
Missions (BMIS),650
Finance,412
Animal Science,336
Art,331
Art,332
Art,457
History (Church) (BIBH),652
Biology,292
CCCU-Business,4C1
Conflict Resolution,643
Conflict Resolution,645
Communication,699
Computer Science,467
Education,250
Education,411
Education,490
Education,622
English,4
English,610
English,615
English,622
Family Studies,265
Family Studies,432
Foreign Language - ESL,49
Foreign Language - French,112
Foreign Language - Mandarin,132
Foreign Language - Mandarin,232
Higher Education,695
History,403
Journalism & Mass Comm.,400
Management,373
Marketing,341
Perf Ens Vocal,311
Priv Instr Piano Maj,221
Priv Instr Piano Maj,231
Music Education,330
Musicology,432
Nursing,336
Nursing,652
Nutrition,120
Physical Education Activity,219
Physics,101
Political Science,432
Political Science,440
Psychology,278
Psychology,342
Psychology,640
Social Work,626
Theatre,466
Theatre,480
Social Work,451
Theatre,440
Communication Disorders,419
Communication Disorders,613
Environmental Science,233
CCCU-History,3.00E+00
CCCU - Music,4M5
Journalism & Mass Comm.,492
Early Childhood,466
Nutrition,421
Foreign Language - ESL,41
Sociology,111
Psychology,646
English,3
Chemistry,334
Perf Ens Instr.,401
Communication,383
Communication,400
Communication,408
Recital Seminar,301
Honors Class,406
Mathematics,311
Biology,293
Mathematics Workshop,19
CCCU - Language Studies,1C0
Psychology,542
Perf Ens Vocal,211
Design,202
Design,302
Special Education,481
Physics,112
Journalism & Mass Comm.,239
Music,218
Computer Science,220
Core Curriculum,340
Communication,698
Biology,223
Higher Education,622
Foreign Language - Spanish,482
Accounting,311
Accounting,410
Agribusiness,430
Animal Science,337
Art,371
Bible Text (BIBL),101
Bible Text (BIBL),453
Marriage & Family Therapy,661
Chemistry,400
Communication Disorders,225
Communication Disorders,357
Communication Disorders,600
Communication Disorders,694
Communication,642
Computer Science,140
Digital Entertainment Tech,310
Design,352
Education,412
English,351
English,442
Foreign Language - Spanish,440
Information Systems,410
Information Technology,140
Journalism & Mass Comm.,100
Journalism & Mass Comm.,223
Journalism & Mass Comm.,390
Kinesiology,400
Acct. & Fin.- Master of Acct.,605
Acct. & Fin.- Master of Acct.,610
Acct. & Fin.- Master of Acct.,622
Acct. & Fin.- Master of Acct.,640
Mathematics,123
Mathematics,130
Mathematics,131
Marketing,499
Perf Ens Vocal,312
Nursing,474
Physical Education Activity,215
Physical Education Activity,224
Physics,120
Physics,371
Reading,480
Sociology,498
Social Work,616
Special Education,374
Theatre,320
Political Science,491
Physics,240
Psychology,241
Theatre,425
Information Technology,440
Accounting,302
International Studies,499
Psychology,692
CCCU-History,4.00E+00
Journalism & Mass Comm.,351
Education,331
Foreign Language - ESL,39
Psychology,644
Psychology,657
Bible Text (BIBL),440
Perf Ens Instr.,313
Honors Class,407
Honors Class,411
Christ. Ministry (BIBM),605
Foreign Language - German,221
Perf Ens Instr.,417
Bible Text (BIBL),640
Agriculture & Environment,384
Biology,354
Special Education,577
Art,111
Biology,492
Greek (BGRK),600
Journalism & Mass Comm.,317
Physics,499
Art,101
English,432
English,484
Political Science,383
History (Church) (BIBH),383
History (Church) (BIBH),432
Biology,203
Mathematics,186
Missions (BMIS),640
Accounting,499
Art,222
Art,433
Art,456
Bible Text (BIBL),454
Christ. Ministry (BIBM),401
Christ. Ministry (BIBM),640
Biology,291
Biology,476
Biology,480
Biology,497
Bus. Administration,435
Chemistry,483
Communication,341
Communication,436
Communication,536
Core Curriculum,115
Computer Science,420
Digital Entertainment Tech,340
Design,402
Education,240
English,584
Kinesiology,491
Kinesiology,492
Family Studies,452
Family Studies,495
Foreign Language - Arabic,132
History,580
Information Technology,330
Journalism & Mass Comm.,405
Kinesiology,322
Kinesiology,361
Physical Education Activity,351
Mathematics,227
Management,432
Musicology,449
Theory,132
Physics,362
Political Science,225
Psychology,311
Psychology,370
Social Work,250
Social Work,615
Social Work,741
University Courses,419
Social Work,442
Communication Disorders,380
Communication Disorders,493
Nursing,451
Psychology,694
Communication,486
Communication,491
Communication,508
Management,332
History,480
Sociology,415
Missions (BMIS),346
Early Childhood,363
Psychology,649
Education,688
Bible Text (BIBL),365
Perf Ens Instr.,312
Communication,384
