CRN,Grade Code,Banner ID
10001,A,801705
10001,A,208692
10001,A,486203
10001,A,122469
10001,B,40153
10001,A,313192
10001,A,27089
10001,A,60856
10001,A,82904
10001,C,226976
10001,A,874561
10001,B,555201
10001,A,808427
10001,B,987071
10001,A,31351
10001,,85510
10001,A,967441
10001,A,696844
10001,A,610415
10001,A,760805
10001,A,864069
10001,A,305808
10001,A,549680
10001,,698553
10001,B,790088
10001,A,23653
10001,,724044
10001,,738520
10001,,597723
10001,,90621
10001,,45488
10001,,409362
10001,,326723
10001,,782877
10001,,335230
10001,,924082
10001,,883168
10001,,329923
10001,,405389
10001,,458171
10001,,64204
10001,,849975
10001,,392957
10001,,167826
10002,A,801705
10002,A,239098
10002,B,208692
10002,A,667757
10002,A,47787
10002,A,486203
10002,B,40153
10002,A,313192
10002,A,400236
10002,A,82904
10002,B,197018
10002,B,226976
10002,B,790140
10002,B,555201
10002,A,987071
10002,A,31351
10002,C,967441
10002,A,696844
10002,A,722362
10002,A,610415
10002,A,549680
10002,,698553
10002,B,790088
10002,A,23653
10002,,968728
10002,,978522
10002,,291511
10002,,179855
10002,,575397
10002,,52068
10002,,985449
10002,,341860
10002,,710843
10002,,346512
10002,,995329
10002,,440450
10002,,104546
10002,,34363
10002,,506816
10002,,810538
10002,,332368
10002,,760210
10003,A,63485
10003,A,855367
10003,A,472398
10003,A,239098
10003,A,80774
10003,A,645826
10003,A,759508
10003,A,940645
10003,A,995731
10003,A,722334
10003,A,114631
10003,A,585997
10003,,245538
10003,A,219608
10003,A,895690
10003,A,930387
10003,A,69786
10003,A,958269
10003,A,348730
10003,A,318979
10003,A,227137
10003,A,16318
10003,A,317068
10003,A,892851
10003,A,123095
10003,A,275035
10003,A,438619
10003,A,205931
10003,A,463342
10003,A,921374
10003,A,200627
10003,A,298689
10003,A,722362
10003,A,964384
10003,A,969133
10003,A,647112
10003,A,501143
10003,A,306916
10003,A,229964
10003,A,323335
10003,A,477266
10003,,966351
10003,,206181
10003,,275485
10003,,221698
10004,B,855367
10004,A,706151
10004,B,472398
10004,A,239098
10004,B,80774
10004,A,645826
10004,A,799359
10004,A,114631
10004,A,999959
10004,A,737194
10004,A,107401
10004,A,466892
10004,A,868047
10004,A,817096
10004,B,589021
10004,A,585997
10004,A,245538
10004,A,233825
10004,A,702425
10004,B,930387
10004,A,566203
10004,C,230458
10004,A,318979
10004,A,124240
10004,A,227137
10004,A,991059
10004,A,223261
10004,A,181566
10004,A,317068
10004,A,505574
10004,A,200627
10004,A,298689
10004,A,777585
10004,B,515091
10004,A,227221
10004,A,722362
10004,B,969133
10004,A,559328
10004,A,647112
10004,A,229964
10004,A,323335
10004,A,477266
10004,A,705018
10005,A,659973
10005,B,63485
10005,B,95786
10005,A,472398
10005,B,80774
10005,A,645826
10005,A,759508
10005,I,940645
10005,A,995731
10005,B,722334
10005,A,497921
10005,A,151079
10005,A,160083
10005,B,219608
10005,A,895690
10005,A,930387
10005,A,69786
10005,A,958269
10005,B,348730
10005,A,487130
10005,A,16318
10005,A,892851
10005,A,123095
10005,A,275035
10005,A,438619
10005,A,205931
10005,A,568387
10005,A,463342
10005,A,921374
10005,A,200627
10005,A,895669
10005,A,964384
10005,A,501143
10005,A,131983
10005,A,458352
10005,A,720119
10005,,966351
10005,,2883
10005,,499243
10005,,271709
10005,,399345
10005,,233825
10005,,333925
10005,,574871
10005,,574871
10005,,635347
10005,,728380
10005,,484603
10005,,549680
10005,,761548
10005,,275485
10005,,431125
10005,,178490
10005,,394232
10005,,643331
10005,,797188
10005,,209362
10005,,226524
10005,,34363
10005,,826089
10006,A,659973
10006,A,63485
10006,A,759508
10006,C,940645
10006,A,995731
10006,B,722334
10006,A,497921
10006,A,151079
10006,A,160083
10006,A,219608
10006,A,895690
10006,A,69786
10006,B,348730
10006,A,487130
10006,A,16318
10006,A,892851
10006,A,123095
10006,A,275035
10006,A,438619
10006,A,205931
10006,A,568387
10006,A,463342
10006,A,921374
10006,A,895669
10006,A,964384
10006,A,501143
10006,A,131983
10006,A,458352
10006,A,306916
10006,A,720119
10006,,968728
10006,,853121
10006,,835892
10006,,985449
10006,,657251
10006,,930213
10006,,575238
10006,,346512
10006,,280666
10006,,148452
10006,,518123
10006,,243814
10006,,142454
10006,,92693
10006,,744497
10006,,454039
10006,,773031
10006,,880429
10006,,221698
10006,,207260
10007,A,567362
10007,A,301751
10007,A,19797
10007,B,877730
10007,A,697650
10007,A,95805
10007,A,240878
10007,A,567574
10007,A,107485
10007,A,420714
10007,A,632068
10007,A,694706
10007,A,114880
10007,A,580503
10007,A,420476
10007,A,418400
10007,A,107378
10007,A,223936
10007,,650357
10007,A,301427
10007,A,706682
10007,A,795974
10007,,180858
10007,A,786663
10007,A,597297
10007,,211143
10007,,966351
10007,,853121
10007,,785176
10007,,341860
10007,,533555
10007,,710843
10007,,280666
10007,,779744
10007,,995329
10007,,142454
10007,,851375
10007,,34363
10007,,506816
10007,,760210
10008,A,511244
10008,A,780769
10008,A,779788
10008,A,539550
10008,A,539232
10008,A,447980
10008,A,317314
10008,A,344127
10008,A,124869
10008,A,472720
10008,A,554968
10008,A,540485
10008,A,60518
10008,A,847040
10008,A,83626
10008,A,166907
10008,A,175649
10008,A,102859
