Course Name, CRN, Course Number, Section, Prereqs

Scripting I, 10457, CS 115, 01, "NA"
Scripting I, 10458, CS 115, 02, "NA"
Scripting II, 10916, CS 116, 01, "CS 115"
Programming I, 10859, CS 120, 01, "MATH 124 or MATH 185 or MATH 109 or CS 115"
Programming I, 10860, CS 120, 02, "MATH 124 or MATH 185 or MATH 109 or CS 115"
Programming II: Data Struct, 10852, CS 130, 01, "CS 120"
Object-Oriented Programming, 10878, CS 230, 01, "CS 230"
Contest Programming, 10850, CS 311, 01, "CS 130"
Mobile Computing, 10910, CS 315, 01, "(IT 220 and CS 116) or CS 120"
Human-Computer Interaction, 10880, CS 330, 01, "CS 116 or CS 120"
Design & Analysis of Algorithm, 10851, CS 332, 01, "CS 130 and MATH 227"
Numerical Methods, 11129, CS 341, 01, "CS 120 and MATH 186"
Software Engineering, 10853, CS 374, 01, "CS 230"
Precalculus I, 10325, MATH 109, 01, "ACAD 102 or MATW 019"
Quantitative Reasoning, 11128, MATH 120, 01, "ACAD 104 or ACAD 102"
Quantitative Reasoning, 10326, MATH 120, T1, "ACAD 104 or ACAD 102"
Quantitative Reasoning, 10327, MATH 120, T2, "ACAD 104 or ACAD 102"
Precalculus II, 10330, MATH 124, 01, "MATH 109 or MATH 121"
Precalculus II, 10331, MATH 124, 01, "MATH 109 or MATH 121"
Finite Math of Applications, 10333, MATH 130, 02, "ACAD 102"
Calculus I, 10344, MATH 185, 01, "MATH 124"
Calculus I, 10345, MATH 185, 02, "MATH 124"
Calculus II, 10334, MATH 186, 01, "MATH 185"
Calculus Computer Lab, 10335, MATH 187, L1, "MATH 131 or MATH 185"
Discrete Mathematics, 10336, MATH 227, 01, "MATH 185 or CS 120"
Number and Operations, 10337, MATH 237, T1, "MATH 120 or MATH 123 or (MATH 020 and MATW 120)"
Geometry and Measurement, 10338, MATH 238, T1, "MATH 237 or MATH 147"
Calculus III, 10339, MATH 286, 01, "MATH 186"
Linear Programming, 11130, MATH 334, 01, "(MATH 127 or MATH 227) or MATH 130"
Numerical Methods, 10340, MATH 341, 01, "CS 120 and MATH 186"
Ordinary Differential Equation, 11341, MATH 361, 02, "MATH 186"
Algebraic Concpts for Teach II, 10375, MATH 410, 01, "MATH 309"
Prof. Dev. Experience in Math, 11298, MATH 410, 01, "(MATH 309 or MATH 311)"
Mathematics Capstone, 10347, MATH 497, 01, "MATH 397"
